,gender,race,age,course,interest,hear_ccm_website,hear_social_media,hear_community_event,hear_family_friend,hear_ccm_student,hear_ccm_alumni,hear_hs_teacher,hear_hs_counselor,hear_in_app_ad,hear_employer,hear_billboard,hear_tv,hear_radio,hear_home_mail,hear_other,event_open_house,event_inst_dec_day,event_campus_info_sess,event_titans_tuesday_info_sess,event_women_who_dare,event_regional_college_fair,event_hs_sharetime_info_sess,event_challenger_program,event_cybersecurity_info_protection_program,event_hs_info_sess,event_campus_visit_w_hs,event_campus_visit,event_workforce_development_class,event_corporate_training,event_teen_arts_festival,event_ccm_summer_camp,event_hour_of_code
0,Woman,Hispanic or Latino,18 and younger,CMP 101 Computer Information Literacy,3,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No,No,No,No
1,Woman,White/Caucasian,21-24,CMP 135 Computer Concepts with Applications,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Not Sure,Yes,Not Sure,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No,Not Sure
2,Woman,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,4,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Don't recall,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No
3,Man,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,1,No,No,No,No,No,No,No,No,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Sure
4,Man,White/Caucasian,19-20,CMP 101 Computer Information Literacy,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Not Sure,Yes,Yes,No,No,No,Not Sure,No,No,No,Yes,No,No,No,No,No
5,Woman,White/Caucasian,19-20,CMP 101 Computer Information Literacy,2,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
6,Woman,Hispanic or Latino,18 and younger,CMP 101 Computer Information Literacy,1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
7,Woman,Black/African American,25-34,CMP 101 Computer Information Literacy,4,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,Woman,Black/African American,25-34,CMP 101 Computer Information Literacy,4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9,Woman,Hispanic or Latino,19-20,CMP 101 Computer Information Literacy,3,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10,Woman,Hispanic or Latino,21-24,CMP 101 Computer Information Literacy,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Not Sure,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
11,Woman,Choose not to reply,18 and younger,CMP 101 Computer Information Literacy,2,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12,Man,Choose not to reply,18 and younger,CMP 126 Computer Technology and Applications,2,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No,Not Sure,No,No,Not Sure,No,No,No,No,No,No,No
13,Man,White/Caucasian,18 and younger,CMP 135 Computer Concepts with Applications,1,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
14,Woman,White/Caucasian,19-20,CMP 101 Computer Information Literacy,3,Don't recall,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Not Sure,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
15,Man,Hispanic or Latino,25-34,CMP 101 Computer Information Literacy,3,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16,Woman,Multi-Racial,19-20,CMP 135 Computer Concepts with Applications,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
17,Woman,White/Caucasian,35-64,CMP 135 Computer Concepts with Applications,4,Yes,No,No,Yes,Yes,No,Don't recall,Don't recall,No,No,Yes,No,Yes,Yes,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
18,Man,White/Caucasian,21-24,CMP 135 Computer Concepts with Applications,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
19,Woman,White/Caucasian,25-34,CMP 135 Computer Concepts with Applications,3,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
20,Woman,White/Caucasian,21-24,CMP 101 Computer Information Literacy,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
21,Man,Multi-Racial,21-24,CMP 101 Computer Information Literacy,3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
22,Woman,Hispanic or Latino,19-20,CMP 135 Computer Concepts with Applications,2,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
23,Prefer not to say,Choose not to reply,25-34,CMP 101 Computer Information Literacy,3,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure
24,Woman,Hispanic or Latino,19-20,CMP 126 Computer Technology and Applications,3,No,No,No,Yes,Don't recall,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Not Sure,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
25,Man,Black/African American,35-64,CMP 126 Computer Technology and Applications,3,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26,Woman,White/Caucasian,19-20,CMP 101 Computer Information Literacy,1,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27,Woman,White/Caucasian,25-34,CMP 126 Computer Technology and Applications,2,Don't recall,Yes,Don't recall,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
28,Man,White/Caucasian,18 and younger,CMP 126 Computer Technology and Applications,4,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
29,Prefer not to say,Multi-Racial,19-20,CMP 126 Computer Technology and Applications,2,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
30,Woman,Multi-Racial,19-20,CMP 126 Computer Technology and Applications,2,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
31,Woman,White/Caucasian,18 and younger,CMP 126 Computer Technology and Applications,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
32,Man,Choose not to reply,19-20,CMP 126 Computer Technology and Applications,3,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure
33,Woman,Hispanic or Latino,18 and younger,CMP 126 Computer Technology and Applications,5,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
34,Man,White/Caucasian,21-24,CMP 126 Computer Technology and Applications,2,No,Don't recall,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Don't recall,Don't recall,No,Don't recall,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
35,Man,Black/African American,18 and younger,CMP 126 Computer Technology and Applications,2,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
36,Man,Choose not to reply,19-20,CMP 126 Computer Technology and Applications,3,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,No,No,No,Not Sure,No,No,No
37,Woman,White/Caucasian,19-20,CMP 126 Computer Technology and Applications,1,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,No,Don't recall,No,No,Yes,Yes,Not Sure,Yes,Yes,Yes,No,Not Sure,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
38,Man,White/Caucasian,18 and younger,CMP 126 Computer Technology and Applications,3,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Don't recall,No,Don't recall,Don't recall,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
39,Woman,White/Caucasian,18 and younger,CMP 126 Computer Technology and Applications,2,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No,No,No,No,No,No,No,No,No,No
40,Woman,White/Caucasian,18 and younger,CMP 101 Computer Information Literacy,3,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
41,Woman,White/Caucasian,19-20,CMP 101 Computer Information Literacy,2,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
42,Man,Black/African American,19-20,CMP 101 Computer Information Literacy,3,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
43,Woman,Hispanic or Latino,25-34,CMP 101 Computer Information Literacy,3,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
44,Woman,White/Caucasian,19-20,CMP 126 Computer Technology and Applications,1,Don't recall,Don't recall,Don't recall,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Not Sure,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
45,Woman,White/Caucasian,19-20,CMP 126 Computer Technology and Applications,1,Yes,No,No,Yes,Yes,Yes,Don't recall,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46,Man,Asian,21-24,CMP 135 Computer Concepts with Applications,4,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
47,Man,White/Caucasian,21-24,CMP 135 Computer Concepts with Applications,4,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
48,Woman,Black/African American,21-24,CMP 101 Computer Information Literacy,4,Don't recall,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
49,Man,Black/African American,19-20,CMP 126 Computer Technology and Applications,2,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Don't recall,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
50,Woman,White/Caucasian,18 and younger,CMP 135 Computer Concepts with Applications,1,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
51,Woman,Hispanic or Latino,25-34,CMP 135 Computer Concepts with Applications,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
52,Man,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,3,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
53,Man,White/Caucasian,18 and younger,CMP 135 Computer Concepts with Applications,5,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
54,Man,Hispanic or Latino,18 and younger,CMP 135 Computer Concepts with Applications,3,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55,Woman,Multi-Racial,19-20,CMP 135 Computer Concepts with Applications,3,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
56,Woman,Multi-Racial,18 and younger,CMP 135 Computer Concepts with Applications,2,No,Yes,No,Don't recall,No,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
57,Woman,Hispanic or Latino,18 and younger,CMP 135 Computer Concepts with Applications,4,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
58,Woman,Hispanic or Latino,19-20,CMP 135 Computer Concepts with Applications,1,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
59,Man,Hispanic or Latino,19-20,CMP 135 Computer Concepts with Applications,3,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Not Sure,No,Not Sure,Not Sure,No,No,No,No,No,No,No,Yes,No,No,No,No,No
60,Man,Black/African American,35-64,CMP 135 Computer Concepts with Applications,5,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
61,Man,White/Caucasian,21-24,CMP 135 Computer Concepts with Applications,4,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
62,Woman,Multi-Racial,18 and younger,CMP 101 Computer Information Literacy,3,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
